name	city	state	founded	lat	long
Fiction Beer Company	Denver	Colorado	2013	39.73	-104.91
Fireweed Ferments LLC	Crested Butte	Colorado	2016	38.9	-106.9
Five Star Brewing Co Inc	Las Vegas	Nevada	2004	36.06	-115.26
Flag Brew Tours	Flagstaff	Arizona	2016	36.0	-111.0
Flathead Lake Brewing Co., Inc.	Bigfork	Montana	2004	47.9	-113.7
Flying Bass Et Brewing	Chandler	Arizona	2015	33.32	-111.82
Foam On The Range	Centennial	Colorado	2016	39.63	-104.87
Formulove LLC	Lehi	Utah	2014	40.39	-111.85
Four Corners Brewing Co	Cortez	Colorado	1998	37.3	-108.7
Four Peaks Brewing Company, Inc.	Tempe	Arizona	1995	33.44	-111.93
Anheuser-Busch Companies, LLC	Fort Collins	Colorado	1852	40.7	-105.0
Four Peas LLC	Tucson	Arizona	2004	32.21	-110.89
Funkwerks, Inc.	Fort Collins	Colorado	2011	40.7	-105.0
Gemini Brewing Company, LLC	Westminster	Colorado	2015	39.88	-105.04
Glacier Brewing Company	Polson	Montana	2003	47.8	-114.2
Golden City Brewery LLC	Golden	Colorado	1993	39.7	-105.2
Goodman Cr Cos	Aurora	Colorado	2006	39.73	-104.79
Grand Canyon Brewing Company, LLC	Williams	Arizona	2007	35.7	-112.5
Grand Teton Brewing Co., Inc.	Victor	Idaho	1997	43.6	-111.2
Granite Brewery LLC	Albuquerque	New Mexico	2016	35.15	-106.57
American Craft Brewery LLC	Cincinnati	Ohio	1984	39.12	-84.55
Great Divide Brewing Company	Denver	Colorado	1993	39.76	-104.97
Great Northern	Denver	Colorado	1996	39.64	-104.91
Great Northern Brewing Company	Whitefish	Montana	2002	48.5	-114.6
Grimm Brothers Brewhouse LLC	Loveland	Colorado	2010	40.4	-105.2
Harvest Moon Brewing, LLP	Belt	Montana	1997	47.3	-110.9
Helton Brewing Company Real Estate, LLC	Phoenix	Arizona	2016	33.51	-112.03
High Performance Beverage Company	Cave Creek	Arizona	2012	33.8	-112.0
High Sierra Brewing Co LLC	Sparks	Nevada	2015	39.54	-119.74
Holm Brew Brewing Co	Clifton	Colorado	2018	39.08	-108.41
Hometown Brewing Company	Prescott	Arizona	2016	34.5	-112.4
Hops and Handlebars, Inc.	Lafayette	Colorado	2016	40.02	-105.1
Hub City Brewing Co. LLC	Los Lunas	New Mexico	2013	34.8	-106.8
Hutchison W Gary	Whitefish	Montana	1991	48.5	-114.6
Indian Head Brewing Company	Las Vegas	Nevada	2016	36.18	-115.31
Indian Peaks Brewing Company	Longmont	Colorado	1993	40.17	-105.09
Iron Works Brewery & Pub Inc	Lakewood	Colorado	1990	39.69	-105.15
James R Lukash	Phoenix	Arizona	2016	33.8	-112.1
Javu Brew LLC	Boise	Idaho	2016	43.56	-116.29
Jjb Unlimited, LLC	Northglenn	Colorado	2015	39.9	-104.94
Joseph James Brewing Co., Inc.	Henderson	Nevada	2007	36.06	-115.09
Just Brew It	Carson City	Nevada	2010	39.1	-119.7
Katabatic Brewing Co	Livingston	Montana	2014	45.5	-110.5
Kettlehouse Brewing Co LLC	Missoula	Montana	1995	46.9	-113.9
Knight International, L.L.C.	Reno	Nevada	2008	39.5	-119.9
Kraus Brewing Services Ltd	Santa Fe	New Mexico	1993	35.6	-105.9
Lang Creek Brewery Inc	Marion	Montana	1972	48.1	-114.8
Little Big Brewing LLC	Berthoud	Colorado	2005	40.3	-105.1
Little Black Drink LLC	Fort Collins	Colorado	2016	40.52	-105.02
Little Machine LLC	Denver	Colorado	2014	39.76	-105.02
Lovelady Brewing Company, LLC	Henderson	Nevada	2014	36.05	-114.96
M Mountain Brewing Company	Maricopa	Arizona	2016	33.0	-111.9
Madison River Brewing Company	Belgrade	Montana	2004	46.0	-111.1
Mamachari, LLC	Salt Lake City	Utah	2013	40.76	-111.9
Manitou Brewing Company LLC	Manitou Springs	Colorado	2013	38.83	-104.93
Maple Mountain Brew Company / Mmbc	Provo	Utah	2015	40.24	-111.65
Marble Brewery, Inc.	Albuquerque	New Mexico	2007	35.07	-106.64
Melvin Brewing Company, LLC	Alpine	Wyoming	2014	43.13	-110.99
Mesquite River Brewing Company LLC	Scottsdale	Arizona	2015	33.62	-111.95
MI Lehigh Brew Review	Aurora	Colorado	2016	39.66	-104.77
Anheuser-Busch Companies, LLC	Orlando	Florida	1852	28.4	-81.32
Anheuser-Busch, LLC	Saint Louis	Missouri	1852	38.59	-90.22
Miss Little Brewing	Phoenix	Arizona	2016	33.36	-112.03
Missoula Brewing Company, LLC	Missoula	Montana	2006	47.0	-114.1
MO Mighty Brewing Company	Great Falls	Montana	2012	47.52	-111.27
Molson Coors Brewing Company	Denver	Colorado	1873	39.75	-105.0
Coors Brewing Company	Elkton	Virginia	1873	38.4	-78.6
Montucky Cold Snacks, LLC	Livingston	Montana	2012	45.5	-110.5
Mother Lode Brewery Limited Liability Company	Idaho Springs	Colorado	1994	39.7	-105.7
Murph's Corner Brew	Boise	Idaho	2015	43.56	-116.29
Muzics Brews	Goodyear	Arizona	2015	33.48	-112.4
N Q Brew	Denver	Colorado	2014	39.76	-104.97
New Age Beverages Corporation	Denver	Colorado	2010	39.85	-104.95
Anheuser-Busch, LLC	San Diego	California	1852	32.8	-117.24
New Belgium Brewing Company, Inc.	Fort Collins	Colorado	1990	40.7	-105.0
New Terrain Brewing Company Ltd.	Golden	Colorado	2015	39.8	-105.3
Nimbus Brewing Company, L.L.C.	Tucson	Arizona	1996	32.25	-110.95
Northman Brewery Inc	Montrose	Colorado	2015	38.5	-107.8
Odd13 Brewing Inc.	Lafayette	Colorado	2013	40.02	-105.1
Odell Brewing Company, Inc.	Fort Collins	Colorado	1989	40.7	-105.0
Odyssey Beerwerks, LLC	Arvada	Colorado	2012	39.79	-105.1
Off Leash Ales, LLC	Denver	Colorado	2015	39.66	-105.1
On The Fly Brewery, LLC	Townsend	Montana	2017	46.5	-111.4
Open Window Brewing Company LLC	Highlands Ranch	Colorado	2016	39.53	-104.95
Opera Distillery	Amado	Arizona	2015	31.7	-111.0
Outcrop Brewing Company	Highlands Ranch	Colorado	2016	39.54	-105.01
Outdoor Brewing Company	Denver	Colorado	2015	39.68	-104.96
Owl Brewing, LLC	Durango	Colorado	2016	37.4	-107.8
Painted Lady Bed & Brew LLC	Albuquerque	New Mexico	2015	35.1	-106.67
Paradox Beer Company, Inc	Divide	Colorado	2012	38.9	-105.1
Payette Brewing Company LLC	Boise	Idaho	2010	43.7	-116.1
Peak 54 Brewing Company	Denver	Colorado	2015	39.74	-105.02
Peak Brewing Company LLC	Durango	Colorado	1996	37.4	-107.8
Phoenix Brewing Company	Phoenix	Arizona	1996	33.43	-112.01
Portneuf Valley Brewing LLC	Pocatello	Idaho	1996	42.9	-112.4
Post Falls Brewing Company, LLC	Post Falls	Idaho	2013	47.7	-116.9
Prairie Fire Brewing Company LLC	Gillette	Wyoming	2012	44.6	-105.6
Millercoors LLC	Golden	Colorado	1855	39.7	-105.2
Premier Marketing & Distribution, LLC	Las Vegas	Nevada	2013	36.08	-115.22
Prison Hill Brewing Co., L.L.C.	Yuma	Arizona	2013	32.6	-114.7
Proximo Distillers LLC	Denver	Colorado	2010	39.69	-105.0
Pusch Ridge Brewing	Tucson	Arizona	1997	32.34	-110.98
Quarry Brewing	Butte	Montana	2007	46.1	-112.4
Rants & Raves Brewery LLC	Moscow	Idaho	2015	46.7	-116.9
Ratio Beerworks	Denver	Colorado	2014	39.76	-104.97
Record Street Brewing Co.	Reno	Nevada	2015	39.55	-119.8
Red Lodge Ale House	Red Lodge	Montana	2001	45.2	-109.5
Millercoors LLC	Plano	Texas	1855	33.08	-96.81
Revision Brewing Company LLC	Sparks	Nevada	2016	39.61	-119.71
Rio Bravo Brewing Company, LLC	Albuquerque	New Mexico	2013	35.07	-106.64
Rise and Shine Moonshine Distillery and	Laughlin	Nevada	2015	35.2	-114.8
Rising Sun Distillery	Denver	Colorado	2015	39.73	-104.97
Rockslide Brewery	Grand Junction	Colorado	1995	39.07	-108.55
Rockstar Brewing Company, Inc	Las Vegas	Nevada	2005	36.11	-115.21
Rocky Mountain Brewing Company, LLC	Colorado Springs	Colorado	2006	38.85	-104.72
Rvival Brew LLC	Evergreen	Colorado	2014	39.7	-105.4
SA Als Bean Boutique	Kingman	Arizona	2003	35.3	-113.7
Salmon River Brewery LLC	Mccall	Idaho	2013	44.9	-115.9
Salt Lake Brewing Co., LLC	Salt Lake City	Utah	2007	40.71	-111.89
San Tan Brewing Company, LLC	Chandler	Arizona	2006	33.32	-111.82
Sangre De Cristo Brewing Inc	Taos	New Mexico	1987	36.5	-105.5
Santa Fe Brewing Company	Santa Fe	New Mexico	1988	35.5	-105.9
Sawtooth Brewery LLC	Ketchum	Idaho	2010	43.8	-114.6
The Lagunitas Brewing Company	Chicago	Illinois	1993	41.85	-87.68
Second Street Brewery Incorporated	Santa Fe	New Mexico	1995	35.6	-105.9
Anheuser-Busch, LLC	Fort Collins	Colorado	1852	40.52	-105.02
Anheuser-Busch, LLC	Roswell	Georgia	1852	34.02	-84.31
Shamrock Brewing Company, Inc.	Denver	Colorado	2005	39.73	-104.98
Shot Shooter International LLC	Brighton	Colorado	2010	39.96	-104.91
Sierra Blanca Brewing Co., Inc.	Moriarty	New Mexico	1996	34.9	-105.8
Sisu Brewing Company LLC	Loveland	Colorado	2016	40.5	-105.2
Ska Brewing Co.	Durango	Colorado	1995	37.2	-107.9
Skateboard Brewery	Phoenix	Arizona	2015	33.51	-111.99
Skull Brewing	Reno	Nevada	2016	39.5	-119.83
Sleeping Giant Brewing Company LLC	Helena	Montana	1995	46.5	-112.1
Sleeping Giant Enterprises, LLC	Fort Collins	Colorado	2016	40.52	-105.02
Sonoran Brewing Co LLC	Avondale	Arizona	2005	33.42	-112.32
Southern Sub Pub & Brewery	Boulder	Colorado	2003	39.98	-105.26
Square Peg Brewerks LLC	Alamosa	Colorado	2016	37.5	-105.8
Stickman, LLC	Carlsbad	New Mexico	2016	32.4	-104.3
Stoik Beverage, LLC	Arvada	Colorado	2017	39.83	-105.06
Strange Brewing Company LLC	Denver	Colorado	2009	39.74	-105.02
Sun Valley Brewing Co	Hailey	Idaho	1985	43.6	-114.3
Take That Brewing	Thornton	Colorado	2015	39.96	-104.91
The Arvada Liberation LLC	Arvada	Colorado	2012	39.79	-105.1
The Brew Longmont	Longmont	Colorado	2015	40.17	-105.09
The Brew Shack	Lake Havasu City	Arizona	2015	34.48	-114.33
The Brewing-Science Institute Inc	Woodland Park	Colorado	1995	39.0	-105.0
The Bunkhouse Brewery LLC	Bozeman	Montana	2015	45.6	-111.1
The Patron Spirits Company	Las Vegas	Nevada	1990	36.08	-115.22
The Union Colony Brewery LLC	Evans	Colorado	1994	40.37	-104.72
Timberline Brewing Company	Boulder	Colorado	1997	40.05	-105.21
Tjh LLC	Wellington	Colorado	2011	40.8	-105.1
Tombstone Brewing Company	Tempe	Arizona	1996	33.44	-111.93
Trail Crest	Flagstaff	Arizona	2017	35.2	-111.8
